id;order_id;order_serial;cust_id;cust_address;status;created_time;sent_time;achieved_time
1;676;THX;54001;Directives Mews emulation;TRANSPORTING;2022-07-09T12:58:24;2022-07-09T09:19:23;2022-07-09T03:56:51
2;8209;Towels;29155;Grocery e-commerce;PICKUP;2022-07-09T03:12:25;2022-07-08T22:20:08;2022-07-09T05:40:14
3;8632;EXE;70664;transmitter;PICKUP;2022-07-09T15:54:36;2022-07-09T00:26:06;2022-07-09T08:34:57
4;54948;Fresh bandwidth Lead;86485;Mouse reintermediate;TRANSPORTING;2022-07-09T10:23:16;2022-07-09T15:50:18;2022-07-09T14:42:02
5;9241;out-of-the-box;60580;multimedia;NON;2022-07-08T19:37:51;2022-07-09T00:10:50;2022-07-08T21:24:26
6;18504;Toys;13402;matrix Soft Games;ACHIEVED;2022-07-09T02:26:03;2022-07-09T10:42:18;2022-07-09T03:00:32
7;68326;Fresh;9850;silver;TRANSPORTING;2022-07-08T19:47:45;2022-07-09T14:46:13;2022-07-09T08:37:11
8;96444;metrics;88649;bluetooth scale violet;SENT;2022-07-08T22:56:10;2022-07-08T17:29:38;2022-07-09T01:48:12
9;96799;panel;13937;Auto;PICKUP;2022-07-09T00:47:50;2022-07-09T11:40:38;2022-07-09T16:17:08
10;2119;context-sensitive;328;virtual Ergonomic;TRANSPORTING;2022-07-08T20:36:58;2022-07-09T14:21:21;2022-07-09T01:27:37
